bot_name,avg_return
actr_lag2_decay,6.4
adddriftbot2,8.4
addshiftbot3,36.2
antiflatbot,190.5
antirotnbot,34.7
biopic,21.5
boom,13.1
copybot,182.0
debruijn81,29.7
driftbot,11.3
flatbot3,26.4
foxtrotbot,17.3
freqbot2,157.9
granite,31.4
greenberg,2.9
halbot,8.9
inocencio,28.2
iocainebot,3.3
marble,18.1
markov5,2.1
markovbails,13.3
mixed_strategy,38.9
mod1bot,5.8
multibot,72.1
peterbot,17.6
phasenbott,-1.7
pibot,44.9
piedra,29.3
predbot,18.4
r226bot,38.7
randbot,-1.9
robertot,5.0
rockbot,199.8
rotatebot,203.8
russrocker4,-11.0
shofar,18.3
sunCrazybot,111.5
sunNervebot,6.2
sweetrock,24.2
switchalot,26.2
switchbot,53.9
textbot,139.6
zq_move,30.2
